Inside [-1234 Short],Inside [-1234 Short],Inside [-1234 Screen],Inside [-1234 Short],Inside [-34 Short],Iside,Inside,Screen,Inside,Inside,Medium,Inside
Inside [-34 Short],Inside [-234 Screen],Inside [-234 Screen],Inside [-34 Short],Inside,Outside,Outside,Screen,Inside,Outside,Medium,Inside
Inside,Inside,Inside [-34 Screen],Inside,Outside [-1234 Screen],Outside,Screen,Medium,Outside,Outside,Medium,Inside
Inside,Inside,Inside [-4 Screen],Inside,Outside [-234 Short],Screen,Screen,Medium,Outside,Screen,Medium,Inside
Inside,Inside,Inside [-4 Short],Inside,Outside [-4 Medium],Screen,Short,Medium,Outside,Screen,Medium,Inside
Inside,Outside,Inside,Inside/Outside,Outside,Short [+34 Inside],Short [+1234 Outside],Medium,Outside,Screen,Medium,Inside
Inside,Outside [-34 Medium],Inside,Outside [-1234 Screen],Screen [+1234 Outside],Short,Medium [+234 Outside],Medium,Screen,Screen,Long,Inside
Inside/Outside,Outside [-4 Short],Inside,Outside [-234 Screen],Screen [+234 Outside],Short,Medium [+34 Outside],Medium,Screen,Screen,Long,Inside
Inside/Outside,Outside,Inside,Outside [-34 Screen],Screen [+34 Outside],Short [+1234 Outside],Medium [+4 Outside],Medium,Screen,Screen,Long,Inside
Inside [-234 Medium],Outside,Inside,Outside [-4 Short],Screen,Short [+1234 Outside],Medium,Long,Screen,Short,Long,Inside
Outside [-4 Screen],Outside,Inside,Outside,Screen,Short [+234 Outside],Medium,Long,Screen,Short,Long,Inside
Outside,Outside/Inside,Inside,Outside,Screen,Short [+34 Outside],Medium,Long,Screen,Short,Long,Inside
Outside,Screen [+1234 Outside],Inside,Outside,Outside,Short,Medium [+4 Outside],Medium,Long,Screen,Short,Long,Inside
Outside,Screen [+234 Outside],Inside,Outside/Inside,Short,Medium,Medium,Long,Screen,Short,Long,Inside
Outside,Screen,Inside,Screen,Short [+1234 Outside],Medium,Medium,Long,Short,Short,Long,Inside
Outside,Screen,Inside/Outside,Screen,Short [+234 Outside],Medium,Medium,Long,Short,Medium,Long,Inside
Outside/Inside,Screen,Inside/Outside,Screen [+1234 Inside],Short [+234 Inside],Medium,Medium,Long,Short,Medium,Long,Inside
Outside/Inside,Screen,Outside,Screen [+234 Outside],Short [+34 Inside],Medium,Medium,Long,Short,Medium,Long,Inside
Screen +[34 Outside],Screen,Outside,Screen [+34 Inside],Short [+34 Outside],Medium,Medium,Long,Short,Medium,Long,Inside
Screen,Short [+1234 Inside],Outside,Short [+34 Outside],Short [+4 Outside],Medium,Medium,Long,Short,Medium,Long,Inside
Screen,Short [+234 Inside],Outside [-1234 Short],Short,Short,Medium,Medium,Long,Short,Medium,Long,Outside
Screen,Short [+34 Inside],Outside [-234 Short],Short,Short,Medium,Medium,Long,Short,Medium,Long,Outside
Screen,Short [+4 Inside],Outside [-34 Medium],Short,Short,Medium,Medium,Long,Short,Medium,Long,Outside
Short [+1234 Inside],Short,Outside,Short,Short,Medium,Medium,Long,Medium,Medium,Long,Outside
Short [+34 Inside],Short,Outside/Inside,Short [+1234 Outside],Short,Medium,Medium [+234 Outside],Long,Medium,Medium,Long,Outside
Short [+4 Inside],Short,Screen,Short [+234 Outside],Short,Medium,Medium [+4 Outside],Long,Medium,Medium,Long,Outside
Short,Short,Screen,Short [+4 Outside],Short,Medium,Medium,Long,Medium,Medium,Long,Outside
Short,Short,Short,Short,Short,Medium,Medium,Long,Medium,Medium,Long,Outside
Short,Medium [+34 Outside],Short,Short,Short,Medium,Medium,Long,Medium,Long,Long,Outside
Short,Medium,Screen [+1234 Inside],Short,Short,Medium,Medium,Long,Medium,Long,Long,Outside
Medium [+234 Outside],Medium,Screen [+4 Inside],Short,Medium,Medium,Long,Long,Medium,Long,Long,Outside
Medium,Medium,Screen,Medium,Medium,Long,Long,Long,Medium,Long,Long,Outside
Medium,Medium,Short [+234 Outside],Medium [+4 Inside],Medium [+234 Inside],Long [+4 Inside],Long,Long,Long,Long,Long,Screen
Medium,Long [+4 Outside],Short,Medium,Medium,Long,Long,Long,Long,Long,Long,Short
Long,Long,Medium,Medium,Medium,Long,Long,Long,Long,Long,Long,Medium
Long,Long,Long [+34 Inside],Long,Long,Trick,Trick,Trick,Long,Long,Trick,Long
